0.028: 0xDECA1A12B113CC2E initial-position: x=0 y=1000 z=0 q=100
0.028: 0xDECAA9566A21919B initial-position: x=0 y=0 z=1000 q=100
0.028: 0xDECAB8F74901D633 initial-position: x=1000 y=0 z=0 q=100
0.028: 0xDECAF57F6B829325 initial-position: x=0 y=0 z=0 q=100
71.101: started location data observation of E1:FA:B6:92:E7:D8
98.068: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2144, quality=100}, CC2E distance=Distance{length=4487, quality=100}, D633 distance=Distance{length=4080, quality=100}, 919B distance=Distance{length=578, quality=100}
98.149: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2201, quality=100}, CC2E distance=Distance{length=4473, quality=100}, D633 distance=Distance{length=4094, quality=100}, 919B distance=Distance{length=648, quality=100}
98.233: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2154, quality=100}, CC2E distance=Distance{length=4506, quality=100}, D633 distance=Distance{length=4066, quality=100}, 919B distance=Distance{length=596, quality=100}
98.348: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2243, quality=100}, CC2E distance=Distance{length=4473, quality=100}, D633 distance=Distance{length=4089, quality=100}, 919B distance=Distance{length=596, quality=100}
98.447: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2215, quality=100}, CC2E distance=Distance{length=4478, quality=100}, D633 distance=Distance{length=4070, quality=100}, 919B distance=Distance{length=610, quality=100}
98.548: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2262, quality=100}, CC2E distance=Distance{length=4454, quality=100}, D633 distance=Distance{length=4042, quality=100}, 919B distance=Distance{length=639, quality=100}
98.663: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2215, quality=100}, CC2E distance=Distance{length=4492, quality=100}, D633 distance=Distance{length=4108, quality=100}, 919B distance=Distance{length=624, quality=100}
98.746: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2215, quality=100}, CC2E distance=Distance{length=4464, quality=100}, D633 distance=Distance{length=4113, quality=100}, 919B distance=Distance{length=620, quality=100}
98.848: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2229, quality=100}, CC2E distance=Distance{length=4473, quality=100}, D633 distance=Distance{length=4038, quality=100}, 919B distance=Distance{length=563, quality=100}
98.943: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2224, quality=100}, CC2E distance=Distance{length=4492, quality=100}, D633 distance=Distance{length=2969, quality=100}, 919B distance=Distance{length=620, quality=100}
